# https://api.stellarbeat.io and whois results
# Stellar
IP Address|Port|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Payment Address|Publice Key
103.93.54.140|11625|stellar-core 15.3.0 (6b99ef893c7f13f22c7c72a7f66ea912aeb4ad73)|133800|103.93.52.0/22|ID|apnic|2017-05-16|IDNIC-BIZNETGIO-AS-ID PT Biznet Gio Nusantara, ID|GAAZI4TCR3TY5OJHCTJC2A4QSY6CJWJH5IAJTGKIN2ER7LBNVKOCCWN7
104.131.84.6|11625|v15.1.0-35-ge0c2c86b-dirty|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US|GAKRLRJTO3WNALFMSWLMJAL3GCHOJQY63QDYXOTAHJV2JL7UPG5F4FRY
104.248.82.244|11625|stellar-core 15.1.0 (90b2780584c6390207bf09291212d606896ce9f8)|14061|104.248.80.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US|GAODLIICL7LMEUXC6T5WKKN7ZWGACAKVQ7MVLWAG4IIC3PSEQNWGJRP2
104.248.82.244|11625|stellar-core 15.1.0 (90b2780584c6390207bf09291212d606896ce9f8)|14061|104.248.80.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US|GAS6EF6UZQIZ7NY256M5BQYQXULBSQZ7HV5ZCUHFQYDVFJNLMN43KQLL
104.248.82.244|11625|stellar-core 15.1.0 (90b2780584c6390207bf09291212d606896ce9f8)|14061|104.248.80.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US|GBLUBUWRRCHPKIHPHRDGZITBXWOZQM33OO3UMKQJY5C7WJ74XSTC4RXD
104.248.82.244|11625|stellar-core 15.1.0 (90b2780584c6390207bf09291212d606896ce9f8)|14061|104.248.80.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US|GCAVVNQNDODT7NEVWRBTI2YA2XO2HQS3V3IPQLILLQLV5KQEEVT5DHSK
104.45.64.227|11625|v15.1.0|8075|104.40.0.0/13|US|arin|2014-05-07|MICROSOFT-CORP-MSN-AS-BLOCK, US|GBCJ2O4XPZBP7CFBBN7OW76MQB6ITKTGPL55LX35M6NTM6YGJPKLPEOS
109.169.87.229|11625|stellar-core 15.1.0 (90b2780584c6390207bf09291212d606896ce9f8)|20860|109.169.64.0/19|GB|ripencc|2009-11-02|IOMART-AS, GB|GCT4XOUO6QDSBUBQVHU6DYKIRDA2BBYL5PTMYO7FCOV62NU24W4FA73Z
116.202.133.115|11625|v15.1.0|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|GCR64G344LXYVUD7523XGMMM2OEB4E6SPLIBHXNME5P6QYWAUF2QUTO3
116.202.134.130|11625|stellar-core 15.2.0 (54b03f755ae5d5aa12a799c8f1ee4d87fc9d1a1d)|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|GBTNFYOZ4O5QMFEZ4FCP32VYG4GSGWOUVW3NQI3JMCKCRSDTF7CFA4VW
116.202.164.246|11625|stellar-core 15.3.0 (6b99ef893c7f13f22c7c72a7f66ea912aeb4ad73)|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|GBLJNN3AVZZPG2FYAYTYQKECNWTQYYUUY2KVFN2OUKZKBULXIXBZ4FCT
116.203.214.73|11625|stellar-core 15.1.0 (90b2780584c6390207bf09291212d606896ce9f8)|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|GBPQQXTAAMSZ7RQF3BIYD7NI23TJC7PGGMHTCIAUMEX5623FB2DC4RGF
116.63.110.56|11625|stellar-core 15.1.0 (90b2780584c6390207bf09291212d606896ce9f8)|4812|116.63.96.0/20|CN|apnic|2007-03-29|CHINANET-SH-AP China Telecom (Group), CN|GBK4PEN4UFXR36TR3TN4IF5QO3ZAHIBZXS6WNCJ3MHT2BFQB6CYIPW2G
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GBX7FB2F7SS4GMLQ2H7E6TU3JADJEVTUYM47PBKC52OZJZCWOV4HVKKB
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDM7S37OMBUZYSSE3XCXSFDF7MQLWY7CQ67SY4DDC3APKK6ZSZZ3EIG6
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GD35DOO2QMOF7X4RXWT6C6JKSQM7YUQ7XCPYOKPIGCBAMBN4H2KLHMG3
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDPWH65FTLD4EF4IWONGGYL7JQ2HSPIQ5PBYD4MBIUEXJORABKX2UUYU
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDWMTLYFKMFL6QRLG3OPJEIJXZQ5V6GTSNG4ISPIY2ZOO4LCVOBXIS5P
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GD5756TURPOECRRE2O2HHUX2ZEP2EDYFF4OJE3QDCGXFCJGMS3N2HDY2
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GCNA6MW7ROQREKBXGR56ELPGQS5LJD2UCLUB64FLFFQXWACMWYGOKFVA
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GASWQH5K7OKTMDY2GC3ZUOARFICQLSEFUAA7OHV3MCFK5CKIWMVPPDG5
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GCYNIV46JG4EUI7OIWQJ4BR26AL5AQUYFBUYIVZFQUGSTIMOIMG7UU4Q
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GATV2Y66UW7OANURNLXLSZ5BZOPNRRA4AJNKBJK4VX6IXHZBNR6NJ4RL
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GBQB3BNACE3AEU53YIXJYRCGJFZGAJLBOVNAG2V7N3DIITVMJTNU24KU
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GBHXO5OK5LBK7UTREN3WMHJS5PLRZ4AO26ALNHPEGCDZTOZ4IHXCP26W
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GAD4XOSGSWF74QPGFA5LZCX6XAIDDKE742NAW3VDFS3EKVMRBUYX555Y
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GCBO3XUXRXY4Z6GY2AAK3PJGS4M3C7FACW7XIL366N6NFRJWTPZRSQU3
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GARKB7D3BHGDWHWMU57DQRMW4356NLLMSJOL46ZI36HONMA26UJZDBNG
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GAXQCJ33SPZLCWPFIFFU2A5F2OYPRSL2LZMDV5ZUDSCOB6IEXFT6CLWZ
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDIWB3MJNLQSVGBD66P4NWCYFCAS65EIXSSL2XYC4TIAAEAQC2DZ2HU3
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GAHPLQFPAZGK5WT23SVJGTZDIZHDWCAOVU6I62YCWMFLHJZTN7HNCBE3
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GCMIT5ZBNRQ3GHCGQWTRVXX2KIF3WVV4VD624WHAOEPCL4AS2VZ7P4Y3
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GB7BMMVPTBMVS4ISHT34JPA65TULDFSMFTZNP4R6GNZBPBF3SZXZZZAR
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDAQ75VTKFAUKQRBAAKTBNB27ZV7546NBAA7N6MCRWXXQSVNVCNG566R
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GD2G34UUCPHU62EBVCEF53DQYPNTSSPKXA343JNVLNFELYKLATP43Y3N
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GA3Q4LQFCDN77PPLBR46AEWSEZRR7HG6VFHQVS2V5BM5PINHO2SBN5RC
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GB3JISIDQ2SLIAGCE46VSLGXEC7IQZPKJ7UQJ4FXZ74727HV5R2U267A
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDSRL63JJEAFY5TAFCKIXFKPJ3OBIL43GHDVELGYPIGHIEYPBRVXDHZS
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GBYZ4W7BCOWRRCR5T3NQIM5B2B73O7WNAPYO5GO4SOJIUTE25KYNPE2C
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDRWRMLVUJZEW3I53FV3MDV2WJ53E63BKIZ5P5ARWFO5OTNTJ7FVRO3X
128.199.7.251|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|128.199.0.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|GDVCJ3LNBSCVGO7XF6RLYZYRGG4QLTUSFVVFVS3KOEX5J7MR3HQ5OQZR
13.228.25.1|11625|stellar-core 15.0.0 (8d6e6d74cfae65943211bdcc5ba083976d525a04)|16509|13.228.0.0/15|US|arin|2019-10-01|AMAZON-02, US|GDCDWPJYLKPCTBKPWZLZV7MSHAC4UWUOAJ2XQGVZARSPWIQWPP75HBGG
13.230.42.157|11625|stellar-core 15.2.0 (54b03f755ae5d5aa12a799c8f1ee4d87fc9d1a1d)|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US|GATLF6OSDTMKT67TH3VT2NZGH6AYOO3OLZELMXUETUO32N7ONQEJ3KB6
13.230.43.167|11625|stellar-core 15.3.0 (6b99ef893c7f13f22c7c72a7f66ea912aeb4ad73)|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US|GAFMLXMJRTV3W2UOK2N3XAXGAHPMQK5T4X5HNBOSKULQJGJV56XOPKT7
13.236.147.246|11625|stellar-core 15.2.0 (54b03f755ae5d5aa12a799c8f1ee4d87fc9d1a1d)|16509|13.236.0.0/14|US|arin|2019-10-01|AMAZON-02, US|GDMAZ7XRLLLVIEL23MBUMNJL7NP4FCOFLTSHSZN7TT4LFQAVIDGKQGZI
13.244.81.152|11625|v15.1.0-12-gbcdb2305|16509|13.244.0.0/15|US|arin|2018-07-11|AMAZON-02, US|GCM73LNLIE5ELSVXBVVZPNK7XDRCXNV6JXFKLAH3NTEZQ3QDWTZXX6DF
13.49.106.94|11625|v15.1.0-12-gbcdb2305|16509|13.48.0.0/15|US|arin|2020-08-05|AMAZON-02, US|GBTSGIGF2TX6VUXVT7KE7U2ZE4B4IDGPJWN5737QXUWAWYV5SGA52IIE
13.55.67.128|11625|stellar-core 15.2.0 (54b03f755ae5d5aa12a799c8f1ee4d87fc9d1a1d)|16509|13.54.0.0/15|US|arin|2020-08-05|AMAZON-02, US|GBCX6M7EMMWRIKTP7QLSB6TETJKDC5TYREXAWEFNTXG2SY6PJF7NIMNU
134.209.205.48|11625|v10.0.0-2192-ge0c2c86b-dirty|14061|134.209.192.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US|GBOWKLMZRR3WU7PVLMRJLS5MBNZPXAZWF7BAG5EN27XV7Y3HNNYRUD33
