# https://chains.trittium.cc/ and whois results
# NBX coin
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.231.104.237|28734|/Netbox.Wallet:3.4.0.3/|70917|10796|104.231.64.0/18|US|arin|2014-10-07|TWC-10796-MIDWEST, US
144.202.38.197|28734|/Netbox.Wallet:3.4.0/|70917|20473|144.202.32.0/20|US|arin|2018-02-05|AS-CHOOPA, US
161.53.39.187|28734|/Netbox.Wallet:3.4.0.3/|70917|2108|161.53.0.0/16|HR|ripencc|1993-09-01|CARNET-AS J.Marohnica 5, 10000 Zagreb, HR
173.212.239.134|28734|/Netbox.Wallet:3.4.0.1/|70917|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
176.15.185.117|28734|/Netbox.Wallet:3.4.0.3/|70917|8402|176.14.0.0/15|RU|ripencc|2011-05-18|CORBINA-AS OJSC _Vimpelcom_, RU
198.211.50.73|28734|/Netbox.Wallet:3.4.0.2/|70917|35916|198.211.0.0/18|US|arin|2013-04-02|MULTA-ASN1, US
24.252.39.147|28734|/Netbox.Wallet:3.4.0.3/|70917|22773|24.252.0.0/18|US|arin|2003-10-28|ASN-CXA-ALL-CCI-22773-RDC, US
45.63.12.48|28734|/Netbox.Wallet:3.4.0.2/|70917|20473|45.63.0.0/20|US|arin|2015-01-02|AS-CHOOPA, US
51.68.171.135|28734|/Netbox.Wallet:3.4.0.1/|70917|16276|51.68.0.0/16|FR|ripencc|1993-09-01|OVH, FR
68.46.88.163|28734|/Netbox.Wallet:3.4.0.3/|70917|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
79.143.185.203|28734|/Netbox.Wallet:3.4.0.1/|70917|51167|79.143.184.0/23|DE|ripencc|2010-01-08|CONTABO, DE
82.27.18.15|28734|/Netbox.Wallet:3.4.0.3/|70917|5089|82.24.0.0/14|GB|ripencc|2003-02-28|NTL, GB
82.8.198.165|28734|/Netbox.Wallet:3.4.0.3/|70917|5089|82.8.0.0/14|GB|ripencc|2003-02-28|NTL, GB
84.120.53.154|28734|/Netbox.Wallet:3.4.0.3/|70917|6739|84.120.48.0/21|ES|ripencc|2004-04-15|ONO-AS Cableuropa - ONO, ES
84.50.155.133|28734|/Netbox.Wallet:3.4.0/|70917|3249|84.50.0.0/16|EE|ripencc|2004-10-06|ESTPAK, EE
