# https://chains.trittium.cc/ and whois results
# NBX coin
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.231.104.237|28734|/Netbox.Wallet:3.4.0.3/|70917|10796|104.231.64.0/18|US|arin|2014-10-07|TWC-10796-MIDWEST, US
144.202.38.197|28734|/Netbox.Wallet:3.4.0/|70917|20473|144.202.32.0/20|US|arin|2018-02-05|AS-CHOOPA, US
167.86.106.183|28734|/Netbox.Wallet:3.4.0.1/|70917|51167|167.86.106.0/23|DE|ripencc|1993-05-14|CONTABO, DE
198.211.50.73|28734|/Netbox.Wallet:3.4.0.2/|70917|35916|198.211.0.0/18|US|arin|2013-04-02|MULTA-ASN1, US
216.45.54.43|28734|/Netbox.Wallet:3.4.0.3/|70917|8100|216.45.48.0/20|US|arin|2008-05-29|ASN-QUADRANET-GLOBAL, US
45.63.12.48|28734|/Netbox.Wallet:3.4.0.2/|70917|20473|45.63.0.0/20|US|arin|2015-01-02|AS-CHOOPA, US
51.68.171.135|28734|/Netbox.Wallet:3.4.0.1/|70917|16276|51.68.0.0/16|FR|ripencc|1993-09-01|OVH, FR
78.47.224.105|28734|/Netbox.Wallet:3.4.0.2/|70917|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
79.140.168.118|28734|/Netbox.Wallet:3.4.0.3/|70917|43870|79.140.160.0/20|MD|ripencc|2007-10-09|ASDANIS, MD
79.143.185.203|28734|/Netbox.Wallet:3.4.0.1/|70917|51167|79.143.184.0/23|DE|ripencc|2010-01-08|CONTABO, DE
82.8.198.165|28734|/Netbox.Wallet:3.4.0.3/|70917|5089|82.8.0.0/14|GB|ripencc|2003-02-28|NTL, GB
84.50.155.133|28734|/Netbox.Wallet:3.4.0/|70917|3249|84.50.0.0/16|EE|ripencc|2004-10-06|ESTPAK, EE
87.225.111.106|28734|/Netbox.Wallet:3.4.0.3/|70917|12389|87.225.108.0/22|RU|ripencc|2005-06-23|ROSTELECOM-AS, RU
89.16.102.132|28734|/Netbox.Wallet:3.4.0.3/|70917|20485|89.16.102.0/24|RU|ripencc|2006-07-06|TRANSTELECOM Moscow, Russia, RU
95.217.10.61|28734|/Netbox.Wallet:3.4.0.2/|70917|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
