# https://chains.trittium.cc/ and whois results
# Dynamic
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
116.203.25.31|33300|/Dynamic:2.4.4.1/|71100|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
135.125.156.130|33300|/Dynamic:2.4.4.1/|71100|16276|135.125.128.0/17|FR|ripencc|2000-10-11|OVH, FR
136.244.116.122|33300|/Dynamic:2.4.4.1/|71100|20473|136.244.112.0/20|US|arin|2019-04-08|AS-CHOOPA, US
145.239.0.126|33300|/Dynamic:2.4.4.1/|71100|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
155.138.234.200|33300|/Dynamic:2.4.4.1/|71100|20473|155.138.224.0/20|US|arin|2018-12-05|AS-CHOOPA, US
159.69.83.47|33300|/Dynamic:2.4.4.1/|71100|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
172.16.0.146|47378|/Dynamic:2.4.4.1/|71100|NA|NA||other||NA
173.199.71.229|33300|/Dynamic:2.4.4.1/|71100|20473|173.199.70.0/23|US|arin|2010-09-29|AS-CHOOPA, US
178.33.197.73|33300|/Dynamic:2.4.4.1/|71100|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
188.138.88.30|33300|/Dynamic:2.4.4.1/|71100|8972|188.138.88.0/24|DE|ripencc|2009-05-08|GD-EMEA-DC-SXB1, DE
45.76.228.88|33300|/Dynamic:2.4.4.1/|71100|20473|45.76.224.0/21|US|arin|2015-04-24|AS-CHOOPA, US
51.15.55.86|33300|/Dynamic:2.4.4.1/|71100|12876|51.15.0.0/17|FR|ripencc|1993-09-01|Online SAS, FR
51.158.190.38|33300|/Dynamic:2.4.4.1/|71100|12876|51.158.128.0/17|FR|ripencc|1993-09-01|Online SAS, FR
51.195.134.197|33300|/Dynamic:2.4.4.1/|71100|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.77.91.6|33300|/Dynamic:2.4.4.1/|71100|16276|51.77.0.0/16|FR|ripencc|1993-09-01|OVH, FR
62.77.156.206|33300|/Dynamic:2.4.4.1/|71100|62282|62.77.152.0/21|LT|ripencc|2000-07-25|RACKRAY UAB Rakrejus, LT
80.211.161.179|33300|/Dynamic:2.4.4.1/|71100|31034|80.211.128.0/18|IT|ripencc|2001-12-12|ARUBA-ASN, IT
91.134.117.180|33300|/Dynamic:2.4.4.1/|71100|16276|91.134.0.0/16|FR|ripencc|2006-10-30|OVH, FR
95.179.156.35|33300|/Dynamic:2.4.4.1/|71100|20473|95.179.144.0/20|US|ripencc|2009-01-22|AS-CHOOPA, US
