# https://chains.trittium.cc/ and whois results
# Dynamic
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
135.125.156.130|33300|/Dynamic:2.4.4.1/|71100|16276|135.125.128.0/17|FR|ripencc|2000-10-11|OVH, FR
145.239.0.126|33300|/Dynamic:2.4.4.1/|71100|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
163.172.138.35|33300|/Dynamic:2.4.4.1/|71100|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
172.16.0.146|47378|/Dynamic:2.4.4.1/|71100|NA|NA||other||NA
173.199.71.229|33300|/Dynamic:2.4.4.1/|71100|20473|173.199.70.0/23|US|arin|2010-09-29|AS-CHOOPA, US
178.33.197.73|33300|/Dynamic:2.4.4.1/|71100|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
188.138.88.30|33300|/Dynamic:2.4.4.1/|71100|8972|188.138.88.0/24|DE|ripencc|2009-05-08|GD-EMEA-DC-SXB1, DE
195.201.27.156|33300|/Dynamic:2.4.4.1/|71100|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
217.69.4.141|33300|/Dynamic:2.4.4.1/|71100|20473|217.69.0.0/20|US|ripencc|2000-11-16|AS-CHOOPA, US
45.76.228.88|33300|/Dynamic:2.4.4.1/|71100|20473|45.76.224.0/21|US|arin|2015-04-24|AS-CHOOPA, US
51.15.129.216|33300|/Dynamic:2.4.4.1/|71100|12876|51.15.0.0/16|FR|ripencc|1993-09-01|Online SAS, FR
51.158.190.38|33300|/Dynamic:2.4.4.1/|71100|12876|51.158.128.0/17|FR|ripencc|1993-09-01|Online SAS, FR
51.195.134.195|33300|/Dynamic:2.4.4.1/|71100|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
62.77.155.9|33300|/Dynamic:2.4.4.1/|71100|62282|62.77.152.0/21|LT|ripencc|2000-07-25|RACKRAY UAB Rakrejus, LT
80.211.161.179|33300|/Dynamic:2.4.4.1/|71100|31034|80.211.128.0/18|IT|ripencc|2001-12-12|ARUBA-ASN, IT
89.40.6.8|33300|/Dynamic:2.4.4.1/|71100|62282|89.40.0.0/20|LT|ripencc|2005-11-29|RACKRAY UAB Rakrejus, LT
91.134.117.180|33300|/Dynamic:2.4.4.1/|71100|16276|91.134.0.0/16|FR|ripencc|2006-10-30|OVH, FR
95.179.156.35|33300|/Dynamic:2.4.4.1/|71100|20473|95.179.144.0/20|US|ripencc|2009-01-22|AS-CHOOPA, US
