# https://chains.trittium.cc/ and whois results
# Galilel
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
167.86.104.101|36001|/Galilel Core:3.4.0/|70723|51167|167.86.104.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.201.235|36001|/Galilel Core:3.4.0/|70723|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
185.233.106.241|36001|/Galilel Core:3.4.0/|70723|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
188.122.212.64|36001|/Galilel Core:3.4.0/|70723|57728|188.122.192.0/19|CZ|ripencc|2009-06-04|HELIOSMB-AS, CZ
194.182.76.148|36001|/Galilel Core:3.4.0/|70723|24806|194.182.64.0/19|IT|ripencc|1996-02-14|INTERNET-CZ Ktis 2, 384 03 Ktis, CZ
213.141.134.205|36001|/Galilel Core:3.4.0/|70723|12714|213.141.128.0/19|RU|ripencc|2003-11-18|TI-AS Moscow, Russia, RU
23.81.246.102|36001|/Galilel Core:3.4.0/|70723|19148|23.81.224.0/19|US|arin|2013-05-06|LEASEWEB-USA-PHX-11, US
5.189.170.89|36001|/Galilel Core:3.4.0/|70723|51167|5.189.160.0/20|DE|ripencc|2012-08-09|CONTABO, DE
5.8.205.138|36001|/Galilel Core:3.4.0/|70723|15774|5.8.204.0/22|RU|ripencc|2012-04-26|TTK-RTL Retail, RU
64.44.141.133|36001|/Galilel Core:3.4.0/|70723|20278|64.44.0.0/16|US|arin|2017-02-21|NEXEON, US
79.111.14.146|36001|/Galilel Core:3.4.0/|70723|12714|79.111.0.0/16|RU|ripencc|2008-02-15|TI-AS Moscow, Russia, RU
80.211.82.37|36001|/Galilel Core:3.4.0/|70723|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
84.242.109.164|36001|/Galilel Core:3.4.0/|70723|6830|84.242.96.0/19|CZ|ripencc|2004-06-28|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
92.60.37.55|36001|/Galilel Core:3.4.0/|70723|197540|92.60.36.0/22|DE|ripencc|2018-08-23|NETCUP-AS netcup GmbH, DE
93.177.66.154|36001|/Galilel Core:3.4.0/|70723|197540|93.177.64.0/22|DE|ripencc|2018-11-21|NETCUP-AS netcup GmbH, DE
95.165.145.111|36001|/Galilel Core:3.4.0/|70723|25513|95.165.0.0/16|RU|ripencc|2009-01-27|ASN-MGTS-USPD, RU
