# https://chains.trittium.cc/ and whois results
# AXEL
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.207.151.71|32323|/AXEL Wallet:2.0.2/|70222||||||
104.238.182.118|32323|/AXEL Wallet:2.0.2/|70222|20473|104.238.180.0/22|US|arin|2014-11-13|AS-CHOOPA, US
149.28.63.67|32323|/AXEL Wallet:2.0.2/|70222|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
155.138.230.124|32323|/AXEL Wallet:2.0.2/|70222|20473|155.138.224.0/20|US|arin|2018-12-05|AS-CHOOPA, US
164.68.99.213|32323|/AXEL Wallet:2.0.2/|70222|51167|164.68.98.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.76.238|32323|/AXEL Wallet:2.0.2/|70222|51167|167.86.76.0/23|DE|ripencc|1993-05-14|CONTABO, DE
172.16.0.146|32323|/AXEL Wallet:2.0.2/|70222|NA|NA||other||NA
173.212.235.35|32323|/AXEL Wallet:2.0.2/|70222|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.249.32.221|32323|/AXEL Wallet:2.0.2/|70222|51167|173.249.32.0/23|DE|ripencc|2010-05-26|CONTABO, DE
203.23.128.147|32323|/AXEL Wallet:2.0.2/|70222|133752|203.23.128.0/24|CA|apnic|1996-01-22|LEASEWEB-APAC-HKG-10 Leaseweb Asia Pacific pte. ltd., HK
209.250.224.155|32323|/AXEL Wallet:2.0.2/|70222|20473|209.250.224.0/21|EU|ripencc|2006-06-08|AS-CHOOPA, US
45.32.69.62|32323|/AXEL Wallet:2.0.2/|70222|20473|45.32.64.0/19|US|arin|2015-02-17|AS-CHOOPA, US
45.76.118.175|32323|/AXEL Wallet:2.0.2/|70222|20473|45.76.112.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.77.212.28|32323|/AXEL Wallet:2.0.2/|70222|20473|45.77.208.0/21|US|arin|2015-04-24|AS-CHOOPA, US
77.164.212.189|32323|/AXEL Wallet:2.0.2/|70222|1136|77.160.0.0/13|NL|ripencc|2006-11-02|KPN KPN National, EU
95.179.149.180|32323|/AXEL Wallet:2.0.2/|70222|20473|95.179.144.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
