# https://chains.trittium.cc/ and whois results
# 1X2 coin
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
136.244.116.73|9214|/1X2 Coin Core:1.0.0/|70810|20473|136.244.112.0/20|US|arin|2019-04-08|AS-CHOOPA, US
139.180.137.50|9214|/1X2 Coin Core:1.0.0/|70810|20473|139.180.128.0/19|US|apnic|1993-04-08|AS-CHOOPA, US
144.91.65.201|9214|/1X2 Coin Core:1.0.0/|70810|51167|144.91.64.0/23|DE|ripencc|1990-11-20|CONTABO, DE
164.68.110.127|9214|/1X2 Coin Core:1.0.0/|70810|51167|164.68.110.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.76.238|9214|/1X2 Coin Core:1.0.0/|70810|51167|167.86.76.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.249.15.200|9214|/1X2 Coin Core:1.0.0/|70810|51167|173.249.14.0/23|DE|ripencc|2010-05-26|CONTABO, DE
178.238.234.226|9214|/1X2 Coin Core:1.0.0/|70810|51167|178.238.234.0/23|DE|ripencc|2010-07-28|CONTABO, DE
185.147.75.101|9214|/1X2 Coin Core:1.0.0/|70810|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
192.99.247.105|9214|/1X2 Coin Core:1.0.0/|70810|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
45.32.51.170|9214|/1X2 Coin Core:1.0.0/|70810|20473|45.32.32.0/19|US|arin|2015-02-17|AS-CHOOPA, US
5.189.128.48|9214|/1X2 Coin Core:1.0.0/|70810|51167|5.189.128.0/20|DE|ripencc|2012-08-09|CONTABO, DE
62.171.138.222|9214|/1X2 Coin Core:1.0.0/|70810|51167|62.171.138.0/23|DE|ripencc|2000-08-18|CONTABO, DE
84.255.224.47|9214|/1X2 Coin Core:1.0.0/|70810|34779|84.255.192.0/18|SI|ripencc|2004-12-14|T-2-AS AS set propagated by T-2, d.o.o., SI
94.156.144.165|9214|/1X2 Coin Core:1.0.0/|70810|44901|94.156.144.0/24|BG|ripencc|2008-08-27|BELCLOUD, BG
95.179.139.20|9214|/1X2 Coin Core:1.0.0/|70810|20473|95.179.128.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
95.217.2.16|9214|/1X2 Coin Core:1.0.0/|70810|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
