# https://chains.trittium.cc/ and whois results
# SmartCash
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
116.203.49.215|9678|/SmartCash Core:1.2.8/|90028|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
138.201.186.4|9678|/SmartCash Core:1.2.8/|90028|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
159.69.204.167|9678|/SmartCash Core:1.2.8/|90028|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
173.249.54.29|9678|/SmartCash Core:1.2.8/|90028|51167|173.249.54.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.60.78|9678|/SmartCash Core:1.2.8/|90028|51167|173.249.60.0/23|DE|ripencc|2010-05-26|CONTABO, DE
45.63.90.95|9678|/SmartCash Core:1.2.8/|90028|20473|45.63.80.0/20|US|arin|2015-01-02|AS-CHOOPA, US
45.77.143.54|9678|/SmartCash Core:1.2.8/|90028|20473|45.77.140.0/22|US|arin|2015-04-24|AS-CHOOPA, US
51.15.135.186|9678|/SmartCash Core:1.2.8/|90028|12876|51.15.0.0/16|FR|ripencc|1993-09-01|Online SAS, FR
51.38.99.33|9678|/SmartCash Core:1.2.8/|90028|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
64.44.137.76|9678|/SmartCash Core:1.2.8/|90028|20278|64.44.0.0/16|US|arin|2017-02-21|NEXEON, US
66.242.35.140|9678|/SmartCash Core:1.2.8/|90028|14861|66.242.32.0/22|US|arin|2002-03-04|ISC-GROUP, US
89.149.209.148|9678|/SmartCash Core:1.2.8/|90028|60781|89.149.192.0/18|NL|ripencc|2006-02-23|LEASEWEB-NL-AMS-01 Netherlands, NL
90.145.247.60|9678|/SmartCash Core:1.2.8/|90028|29396|90.145.0.0/16|NL|ripencc|2006-11-17|EUROFIBER-UNET EUROFIBER / UNET Network, NL
95.179.178.97|9678|/SmartCash Core:1.2.8/|90028|20473|95.179.176.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
