# https://chains.trittium.cc/ and whois results
# BEACON
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
137.220.34.80|11115|/Beacon:3.4.0/|70917|20473|137.220.32.0/20|US|arin|2019-12-09|AS-CHOOPA, US
144.202.39.32|11115|/Beacon:3.4.0/|70917|20473|144.202.32.0/20|US|arin|2018-02-05|AS-CHOOPA, US
155.138.157.232|11115|/Beacon:3.4.0/|70917|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
164.68.116.197|11115|/Beacon:3.4.0/|70917|51167|164.68.116.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.92.61|11115|/Beacon:3.4.0/|70917|51167|167.86.92.0/23|DE|ripencc|1993-05-14|CONTABO, DE
197.210.64.24|11115||0|29465|197.210.64.0/24|NG|afrinic|2013-03-06|VCG-AS, NG
45.32.237.192|11115|/Beacon:3.4.0/|70917|20473|45.32.232.0/21|US|arin|2015-02-17|AS-CHOOPA, US
46.254.64.201|11115|/Beacon:3.4.0/|70917|5588|46.254.64.0/21|CZ|ripencc|2010-12-17|GTSCE GTS Central Europe / Antel Germany, CZ
62.210.247.39|11115|/Beacon:3.4.0/|70917|12876|62.210.0.0/16|FR|ripencc|2000-10-26|Online SAS, FR
80.254.127.139|11115|/Beacon:3.4.0/|70917|21479|80.254.96.0/19|RU|ripencc|2003-10-31|ROSTOV-TELEGRAF-AS, RU
95.179.168.214|11115|/Beacon:3.4.0/|70917|20473|95.179.160.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
