# https://chains.trittium.cc/ and whois results
# BEACON
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.61.171.177|11115|/Beacon:3.4.0/|70917|20473|108.61.170.0/23|US|arin|2010-12-08|AS-CHOOPA, US
155.138.157.232|11115|/Beacon:3.4.0/|70917|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
164.68.112.217|11115|/Beacon:3.4.0/|70917|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.92.61|11115|/Beacon:3.4.0/|70917|51167|167.86.92.0/23|DE|ripencc|1993-05-14|CONTABO, DE
197.210.47.90|11115||0|29465|197.210.47.0/24|NG|afrinic|2013-03-06|VCG-AS, NG
199.191.58.34|11115|/Beacon:3.4.0/|70917|31863|199.191.56.0/22|US|arin|2012-05-15|DACEN-2, US
207.180.196.252|11115|/Beacon:3.4.0/|70917|51167|207.180.196.0/23|DE|ripencc|1996-08-21|CONTABO, DE
45.33.2.15|11115|/Beacon:3.4.0/|70917|63949|45.33.0.0/19|US|arin|2015-03-20|LINODE-AP Linode, LLC, US
46.254.64.201|11115|/Beacon:3.4.0/|70917|5588|46.254.64.0/21|CZ|ripencc|2010-12-17|GTSCE GTS Central Europe / Antel Germany, CZ
62.210.247.39|11115|/Beacon:3.4.0/|70917|12876|62.210.0.0/16|FR|ripencc|2000-10-26|Online SAS, FR
